aX,aY,aZ,gX,gY,gZ
-0.131,0.760,0.470,-21.362,-3.906,9.644
-0.181,0.605,0.689,-6.897,-29.053,-1.038
-0.184,0.528,0.866,14.465,-42.358,-3.906
-0.157,0.488,1.060,46.143,-34.729,-1.526
-0.143,0.540,1.083,35.828,-22.766,-2.075
-0.153,0.572,1.095,7.629,-1.221,-7.690
-0.185,0.491,1.052,0.793,6.592,-8.362
-0.194,0.442,0.968,-28.564,14.954,-0.916
-0.203,0.440,0.815,-48.096,16.296,4.272
-0.192,0.476,0.759,-68.115,16.235,8.362
-0.184,0.551,0.720,-63.538,12.329,7.263
-0.186,0.540,0.756,-26.611,4.822,2.075
-0.176,0.433,0.798,-7.751,3.235,-0.549
-0.190,0.400,0.823,1.526,2.625,-2.014
-0.212,0.463,0.878,-12.939,5.554,1.770
-0.204,0.500,0.882,-19.470,9.033,4.761
-0.184,0.517,0.859,-17.761,16.541,9.033
-0.143,0.494,0.715,-15.503,17.090,10.742
-0.136,0.511,0.684,-12.817,7.874,13.367
-0.159,0.556,0.730,-12.512,2.747,11.597
-0.174,0.556,0.782,-15.442,-2.747,4.761
-0.198,0.541,0.891,-18.494,-0.977,2.869
-0.202,0.533,0.908,-18.311,3.601,3.479
-0.180,0.546,0.859,-11.414,14.465,7.263
-0.180,0.532,0.796,-8.850,17.883,7.751
-0.170,0.519,0.741,-6.165,17.212,10.803
-0.139,0.529,0.691,-7.690,13.977,10.193
-0.152,0.548,0.675,-15.381,2.380,7.751
-0.181,0.620,0.772,-13.794,-3.967,7.996
-0.182,0.622,0.840,5.005,-3.784,2.075
-0.185,0.539,0.846,12.817,0.793,-1.343
-0.180,0.516,0.829,11.414,7.385,0.854
-0.150,0.500,0.782,6.531,8.545,3.174
-0.142,0.510,0.735,0.610,7.629,4.822
-0.151,0.556,0.719,-14.099,-0.854,6.287
-0.178,0.610,0.794,-14.404,-4.333,3.967
-0.188,0.589,0.825,-4.944,-5.005,0.549
-0.181,0.581,0.860,-6.531,-3.235,0.793
-0.172,0.586,0.870,-17.273,2.625,-2.991
-0.174,0.568,0.844,-16.174,5.554,-4.578
-0.175,0.574,0.824,-9.277,9.216,-0.732
-0.161,0.600,0.787,-8.118,10.132,-0.427
-0.161,0.582,0.772,-8.667,8.545,-4.944
-0.169,0.547,0.793,-11.292,6.287,-5.005
-0.168,0.543,0.808,-11.963,5.188,-3.845
-0.168,0.532,0.795,-3.296,7.507,-3.174
-0.171,0.529,0.769,-0.488,8.301,-1.831

-0.145,1.128,2.346,40.771,190.430,-76.721
-0.271,1.425,3.038,-18.738,308.594,-118.469
-0.788,1.800,4.000,-33.508,410.339,-156.555
-1.212,1.738,4.000,56.824,650.024,-236.816
-2.019,1.254,3.866,112.000,766.174,-258.362
-2.156,1.019,3.465,153.320,939.270,-235.107
-2.179,0.620,2.506,162.048,980.225,-204.773
-2.219,0.469,2.088,168.579,1011.230,-169.189
-2.206,0.369,1.598,154.480,1077.820,-93.994
-1.909,0.276,0.362,138.367,1093.445,-65.979
-1.627,0.198,-0.191,79.285,1038.330,-19.043
-1.885,0.150,-0.582,14.709,969.177,-2.380
-2.270,0.140,-0.424,-6.409,848.511,3.906
-2.709,-0.191,0.094,22.827,802.124,9.094
-2.912,-0.291,0.235,29.846,728.027,47.058
-3.306,-0.339,-0.103,15.930,688.171,63.843
-3.436,-0.322,-0.578,-18.311,553.223,76.477
-3.679,0.044,-2.032,-23.376,443.298,63.477
-3.520,0.435,-2.867,28.748,284.363,18.433
-2.678,0.550,-2.514,120.728,-48.340,-67.993
-0.870,-0.158,0.035,14.893,-64.697,-23.804
0.098,-0.207,0.228,-33.020,45.105,55.054
0.969,0.592,-0.589,-6.226,64.026,51.758
0.419,0.889,-0.720,14.648,67.505,-25.452
-1.138,0.413,-1.063,49.744,65.125,-63.477
-1.382,0.080,-1.043,63.232,18.921,-48.157
-1.058,0.262,-0.678,23.315,-2.991,-16.113
-0.752,0.510,-0.640,-17.395,-5.188,1.404
-0.292,0.354,-0.859,-9.766,5.127,-19.470
-0.234,0.027,-0.899,6.836,11.597,-38.208
-0.372,0.039,-0.833,20.996,11.108,-11.719
-0.447,0.328,-0.820,25.818,11.475,11.108
-0.514,0.577,-0.813,26.123,10.803,11.841
-0.629,0.576,-0.752,15.015,8.179,-3.479
-0.656,0.385,-0.785,-2.991,6.897,-12.512
-0.603,0.192,-0.787,-5.005,5.554,-1.038
-0.535,0.232,-0.724,4.700,8.606,16.602
-0.452,0.297,-0.762,9.399,12.634,14.465
-0.474,0.266,-0.828,14.893,13.245,2.747
